date,source,mean_sst,site
2000-03-04,METOFFICE,NA,OL
2000-03-05,ESACCI,17.0997303563807,OL
2000-03-05,METOFFICE,NA,OL
2000-03-06,ESACCI,17.093940882826,OL
2000-03-06,METOFFICE,NA,OL
2000-03-07,ESACCI,16.9420987809567,OL
2000-03-07,METOFFICE,NA,OL
2000-03-08,ESACCI,16.8544672039681,OL
2000-03-08,METOFFICE,NA,OL
2000-03-09,ESACCI,16.8239408888609,OL
2000-03-09,METOFFICE,NA,OL
2000-03-10,ESACCI,17.1955198279239,OL
2000-03-10,METOFFICE,NA,OL
2000-03-11,ESACCI,17.3073619306872,OL
2000-03-11,METOFFICE,NA,OL
2000-03-12,ESACCI,17.3120987726866,OL
2000-03-12,METOFFICE,NA,OL
2000-03-13,ESACCI,17.3044671939098,OL
2000-03-13,METOFFICE,NA,OL
2000-03-14,ESACCI,17.302361930799,OL
2000-03-14,METOFFICE,NA,OL
2000-03-15,ESACCI,17.2657829842481,OL
2000-03-15,METOFFICE,NA,OL
2000-03-16,ESACCI,17.2928882468002,OL
2000-03-16,METOFFICE,NA,OL
2000-03-17,ESACCI,17.3905198235653,OL
2000-03-17,METOFFICE,NA,OL
2000-03-18,ESACCI,17.4018356127861,OL
2000-03-18,METOFFICE,NA,OL
2000-03-19,ESACCI,17.4107829810071,OL
2000-03-19,METOFFICE,NA,OL
2000-03-20,ESACCI,17.4049935074523,OL
2000-03-20,METOFFICE,NA,OL
2000-03-21,ESACCI,17.4189408755616,OL
2000-03-21,METOFFICE,NA,OL
2000-03-22,ESACCI,17.4289408753381,OL
2000-03-22,METOFFICE,NA,OL
2000-03-23,ESACCI,17.4144671914511,OL
2000-03-23,METOFFICE,NA,OL
2000-03-24,ESACCI,17.3499935086817,OL
2000-03-24,METOFFICE,NA,OL
2000-03-25,ESACCI,17.2742040366915,OL
2000-03-25,METOFFICE,NA,OL
2000-03-26,ESACCI,17.4081514021186,OL
2000-03-26,METOFFICE,NA,OL
2000-03-27,ESACCI,17.6731513961954,OL
2000-03-27,METOFFICE,NA,OL
2000-03-28,ESACCI,17.6765724487505,OL
2000-03-28,METOFFICE,NA,OL
2000-03-29,ESACCI,17.6573619228641,OL
